#,Building,Images,Height,Floors,Building type,Year,Status
310,Latham Hotel,6,178 ft,14,high-rise building,1907,
311,Wesley Building,12,,14,high-rise building,1915,
312,Sofitel Philadelphia,4,178 ft,14,high-rise building,1965,
313,Foerderer Pavilion,6,178 ft,14,high-rise building,1954,
314,Medical Education & Research Building,,,13,high-rise building,2009,
315,Norman Blumberg Apartments III,1,165 ft,13,high-rise building,1966,
316,2601 Parkway Apartments,9,,13,high-rise building,1940,
317,Walnut Square Apartments,3,,13,high-rise building,1904,
318,2040 Market Apartments,1,165 ft,13,high-rise building,2013,
319,Delancey Place,4,165 ft,13,high-rise building,1924,
320,The Lenox Apartments,1,,13,high-rise building,1916,
321,The Westin Philadelphia,3,165 ft,13,high-rise building,-,
322,Archdiocese Office Building,4,165 ft,13,high-rise building,-,
323,Scottish Rite Tower,1,165 ft,13,high-rise building,-,
324,Constitution Place,3,165 ft,13,high-rise building,1956,
325,Bourse Parking Garage,1,,13,open-air structure,-,
326,Garden Court Plaza,,,13,high-rise building,1928,
327,The Iroquois,2,165 ft,13,high-rise building,1962,
328,Park Heights Apartments,,165 ft,13,high-rise building,1958,
329,Reyburn Building,6,165 ft,13,high-rise building,1919,
330,The Touraine,4,,13,high-rise building,1917,
331,The Point at Rittenhouse Row,2,,13,high-rise building,1916,
332,Scottish Rite House,1,165 ft,13,high-rise building,-,
333,1500 Spring Garden,7,165 ft,13,high-rise building,-,
334,American Postal Workers House,3,165 ft,13,high-rise building,1980,
335,Buerger Center for Advanced Pediatric Care,,153 ft,12,high-rise building,2015,
336,Gerri C. LeBow Hall,,153 ft,12,high-rise building,2013,
337,101 Walnut,8,153 ft,12,high-rise building,2007,
338,The Edge at Avenue North,,153 ft,12,high-rise building,2006,
339,Race Street Residence Hall,,,12,high-rise building,2007,
340,Edgewater Apartments,7,153 ft,12,high-rise building,2006,
341,Old City 108,38,153 ft,12,high-rise building,2005,
342,Curtis Clinic Building,5,,12,high-rise building,1931,
343,Jefferson Medical College Building,5,,12,high-rise building,1929,
344,833 Chestnut East,14,,12,high-rise building,1927,
345,Washington House,,153 ft,12,high-rise building,1953,
346,Hahnemann Garage,,,12,open-air structure,-,
347,Hilton Philadelphia - City Avenue,,153 ft,12,high-rise building,-,
348,The Pepper Building,,153 ft,12,high-rise building,1927,
349,American Loft,,153 ft,12,high-rise building,2008,
350,The Children&#039;s Hospital of Philadelphia Northwest Tower,,153 ft,12,high-rise building,2008,
351,Homewood Suites Philadelphia - City Avenue,,153 ft,12,high-rise building,2005,
352,Yorkhouse Apartments,,153 ft,12,high-rise building,-,
353,Four Freedoms House,1,153 ft,12,high-rise building,-,
354,Huntsman Hall,2,153 ft,12,high-rise building,2002,
355,Parker-Spruce Hotel,3,,12,high-rise building,1924,
356,Gladfelter Hall,1,153 ft,12,high-rise building,-,
357,Carnell Hall,,,12,high-rise building,1928,
358,1220 Sansom,2,,12,high-rise building,1918,
359,aka Rittenhouse Square,1,,12,high-rise building,1914,
360,1700 Sansom,1,,12,high-rise building,1929,
361,Walnut Plaza,1,,12,high-rise building,1916,
362,Rittenhouse Hill I,,,12,high-rise building,1950,
363,Kennilworth Apartments II,,153 ft,12,high-rise building,1925,
364,Eastern Pennsylvania Psychiatric Institute,,153 ft,12,high-rise building,-,
365,Independence Building Annex,2,153 ft,12,high-rise building,-,
366,Bellet Building,4,,12,high-rise building,1923,
367,2200 Arch Street,8,,12,high-rise building,1912,
368,1737 Chestnut Street,4,153 ft,12,high-rise building,1925,
369,311 Juniper Street Residence Hall,2,153 ft,12,high-rise building,1923,
370,220 South 16th Street,1,,12,high-rise building,1920,
371,Vida Apartments,1,,12,high-rise building,1915,
372,Kennilworth Apartments I,,153 ft,12,high-rise building,1925,
373,Cambridge Apartments,,153 ft,12,high-rise building,1928,
374,Rittenhouse Hill II,,,12,high-rise building,1950,
