#,Building,Images,Height,Floors,Building type,Year,Status
197,Council Tower,,211 ft,17,high-rise building,-,
198,Fiduciary Trust Building,5,211 ft,17,high-rise building,1977,
199,BostonView Apartments,2,211 ft,17,high-rise building,-,
200,155 Federal Street,2,211 ft,17,high-rise building,1983,
201,Market Place Center,3,211 ft,17,high-rise building,1985,
202,Taj Boston Hotel,1,211 ft,17,high-rise building,1927,
203,Taj Boston Hotel Addition,2,211 ft,17,high-rise building,1981,
204,The Eddy,,199 ft,16,high-rise building,2016,
205,Berklee College of Music Dorm and Dining Facility,,199 ft,16,high-rise building,2013,
206,Liberty Hotel,13,199 ft,16,high-rise building,2007,
207,West Village H,8,199 ft,16,high-rise building,2004,
208,Quincy Tower,2,199 ft,16,high-rise building,-,
209,Dana-Farber Cancer Institute,1,199 ft,16,high-rise building,-,
210,Tower at BWH,1,199 ft,16,high-rise building,-,
211,DoubleTree Suites by Hilton Hotel,,199 ft,16,high-rise building,1985,
212,One Washington Mall,1,199 ft,16,high-rise building,1972,
213,One Emerson Place,,199 ft,16,high-rise building,-,
214,Six Whittier Place,1,199 ft,16,high-rise building,1964,
215,Serenity,,186 ft,15,high-rise building,2017,
216,Reservoir Towers,,186 ft,15,high-rise building,-,
217,Boston Veterans Administration Hospital,,186 ft,15,high-rise building,-,
218,Courtyard Boston Tremont House,1,,15,high-rise building,1925,
219,George W. Thorn Building,2,186 ft,15,high-rise building,-,
220,Kresge Building,2,186 ft,15,high-rise building,-,
221,Four Seasons Hotel Boston,1,186 ft,15,high-rise building,1985,
222,Park Plaza Hotel,5,186 ft,15,high-rise building,1927,
223,Twenty Two Liberty Drive,,174 ft,14,high-rise building,2015,
224,1330 Back Bay Fens,,174 ft,14,high-rise building,2008,
225,Vesta at West End Apartments,1,174 ft,14,high-rise building,2008,
226,Macallen Building,1,,14,high-rise building,2007,
227,Piano Row Residence Hall & Max Mutchnick Campus Center,,174 ft,14,high-rise building,2006,
228,Folio Boston,,174 ft,14,high-rise building,2005,
229,Ten Post Office Square,2,,14,high-rise building,1929,
230,Lunder Building,,174 ft,14,high-rise building,2011,
231,One State Street,1,174 ft,14,high-rise building,-,
232,Tupper Building,1,,14,high-rise building,1924,
233,BUMC Instructional Building,,174 ft,14,high-rise building,-,
234,Biewend Building,,174 ft,14,high-rise building,1925,
235,Martin Luther King Towers,,174 ft,14,high-rise building,-,
236,Symphony Plaza West,1,174 ft,14,high-rise building,1978,
237,245 Summer Street,3,174 ft,14,high-rise building,1974,
238,Harvard School of Public Health,1,174 ft,14,high-rise building,-,
239,Tai Tung Village A,,174 ft,14,high-rise building,1970,
240,Omni Parker House,1,174 ft,14,high-rise building,1927,
241,Human Nutrition Research Center,1,174 ft,14,high-rise building,1982,
242,116 Huntington Avenue,,174 ft,14,high-rise building,1990,
243,Hilton Boston Downtown / Faneuil Hall,1,174 ft,14,high-rise building,1928,
244,George R. White Memorial Building,,174 ft,14,high-rise building,1939,
245,75 Kneeland Street,1,174 ft,14,high-rise building,1928,
246,Symphony Plaza East,2,174 ft,14,high-rise building,1978,
247,Ansin Building,2,174 ft,14,high-rise building,1930,
248,One Exeter Plaza,3,174 ft,14,high-rise building,1984,
249,Harborside Hyatt Hotel,1,174 ft,14,high-rise building,1993,
250,Independence Wharf,9,174 ft,14,high-rise building,1927,
