#,Building,Images,Height,Floors,Building type,Year,Status
184,Securities Building,8,150 ft,10,high-rise building,1918,
185,The Olympus,9,150 ft,14,high-rise building,2002,
186,Fourth and Pike Building,3,149 ft,10,high-rise building,1927,
187,Olympic Tower,15,148 ft,12,high-rise building,1931,
188,Harbor Steps Northwest Tower,8,148 ft,16,high-rise building,2000,
189,Imperial House,1,146 ft,12,high-rise building,1971,
190,Frye Apartments,4,146 ft,11,high-rise building,1911,
191,400 8th Avenue North,,146 ft,12,high-rise building,2015,
192,KeyArena,2,145 ft,-,stadium,1962,
193,Joseph Arnold Lofts,,145 ft,13,high-rise building,2013,
194,Corixa,15,143 ft,11,high-rise building,2004,
195,Harborview Hall,,142 ft,10,high-rise building,1930,
196,Thompson Seattle,,140 ft,11,high-rise building,2016,
197,Lowman Building,7,137 ft,10,high-rise building,1907,
198,Seaboard Building,10,137 ft,11,high-rise building,1910,
199,Transmission Tower,,137 ft,-,mast (pole),-,
200,Rollin Street Flats,2,135 ft,11,high-rise building,2009,
201,Fifth & Jackson,12,135 ft,10,high-rise building,2002,
202,ZymoGenetics,,135 ft,7,high-rise building,1918,
203,Old Rainier Brewery,,135 ft,6,high-rise building,1933,
204,Lloyd Building,5,135 ft,10,high-rise building,1928,
205,Nordstrom,7,134 ft,10,high-rise building,1918,
206,Broadacres Building,4,133 ft,9,high-rise building,1907,
207,Metropolitan Park North,7,132 ft,11,high-rise building,2001,
208,Terminal Sales Building,16,132 ft,11,high-rise building,1925,
209,Quintessa Apartments,,130 ft,13,high-rise building,2007,
210,Mosler Lofts,2,130 ft,12,high-rise building,2007,
211,Visio Corporation Building,2,130 ft,11,high-rise building,1999,
212,Weyerhaeuser Headquarters,,130 ft,7,high-rise building,2016,
213,7th and Madison,5,130 ft,9,high-rise building,2009,
214,DoubleTree Arctic Club Hotel,15,128 ft,9,high-rise building,1917,
215,Klee Building,9,127 ft,12,high-rise building,2001,
216,Bellora,11,125 ft,13,high-rise building,2004,
217,Greenlake Plaza,,125 ft,12,high-rise building,1969,
218,Walton Lofts,,125 ft,12,high-rise building,2015,
219,Transmission Tower,,124 ft,-,mast (pole),-,
220,3101 Western Building,16,122 ft,11,high-rise building,1986,
221,Wilsonian Apartments,1,122 ft,7,high-rise building,1923,
222,505 Union Station,9,121 ft,11,high-rise building,2000,
223,Joshua Green Building,8,121 ft,10,high-rise building,1910,
224,Transmission Tower,,121 ft,-,mast (pole),-,
225,Ellington Condominiums I,9,120 ft,12,high-rise building,2001,
226,Ellington Condominiums II,2,120 ft,12,high-rise building,2001,
227,"The Parc, South Tower",,120 ft,13,high-rise building,2007,
228,Transmission Tower,,120 ft,-,mast (pole),-,
229,Gridiron,,120 ft,10,high-rise building,2018,
230,Logan Building,,119 ft,10,high-rise building,1959,
231,Camlin Hotel,9,118 ft,11,high-rise building,1926,
232,WestCoast Vance Hotel,4,118 ft,10,high-rise building,1928,
233,Skinner Building,10,118 ft,8,high-rise building,1926,
234,Sixth and Pine Building,11,116 ft,10,high-rise building,1928,
305,Horizon House,,231 ft,19,high-rise building,1954,
306,Harbour Heights,10,231 ft,19,high-rise building,1980,
307,Parkview Plaza,6,218 ft,18,high-rise building,1981,
308,Warwick Hotel Seattle,15,218 ft,18,high-rise building,1981,
309,Cabrini Medical Tower,11,218 ft,18,high-rise building,1975,
310,Coppins Well,,206 ft,17,high-rise building,2012,
311,Alto Apartments,,206 ft,17,high-rise building,2012,
312,Fifth and Yesler Tower,,206 ft,17,high-rise building,2009,
