#,Building,Images,Height,Floors,Building type,Year,Status
825,Lever House,21,307 ft,21,high-rise building,1952,
826,The Cielo,5,307 ft,27,high-rise building,2006,
827,Turtle Bay Towers Apartments,5,306 ft,24,high-rise building,1929,
828,Bricken Broadway Building,3,306 ft,23,high-rise building,1926,
829,St. Regis Hotel,9,306 ft,18,high-rise building,1904,
830,Dunhill Condominiums,3,306 ft,28,high-rise building,1985,
831,Statue of Liberty,29,305 ft,-,monument,1886,
832,The Century Apartments,1,305 ft,35,high-rise building,1974,
833,Bank of America Building,7,305 ft,28,high-rise building,1913,
834,RiverEast,4,304 ft,32,high-rise building,2005,
835,360 Lexington Avenue,7,304 ft,26,high-rise building,1958,
836,Look Building,5,304 ft,25,high-rise building,1950,
837,"Fashion Tower, South Tower",2,304 ft,25,high-rise building,1925,
838,Pennsylvania Hotel,10,304 ft,20,high-rise building,1920,
839,360 East 72nd Street,5,303 ft,34,high-rise building,1963,
840,Waterside Apartments IV,3,303 ft,33,high-rise building,1974,
841,66 Beaver Street,6,302 ft,25,high-rise building,1961,
842,Riverhouse,143,302 ft,31,high-rise building,2008,
843,111 Livingston Street,3,301 ft,23,high-rise building,1971,
844,River House Apartments,13,300 ft,28,high-rise building,1931,
845,180 Madison Avenue,3,300 ft,24,high-rise building,1927,
846,260 Madison Avenue,4,300 ft,21,high-rise building,1953,
847,American Woolen Company Building,8,300 ft,19,high-rise building,1909,
848,Roosevelt Hospital Staff Residence,5,300 ft,33,high-rise building,1973,
849,Windsor Court Apartments II,3,300 ft,31,high-rise building,1988,
850,East Coast Tower I,22,299 ft,31,high-rise building,2006,
851,Regency Towers Apartments,2,299 ft,35,high-rise building,1963,
852,The Alex Hotel,7,299 ft,32,high-rise building,2003,
853,Marriott Courtyard New York Manhattan/Times Square South,2,299 ft,32,high-rise building,1998,
854,733 Park Avenue,4,299 ft,30,high-rise building,1971,
855,200 Chambers Street,67,299 ft,29,high-rise building,2007,
856,The Sessanta,16,299 ft,27,high-rise building,2009,
857,Tribeca Park Apartments,18,299 ft,27,high-rise building,1999,
858,Gramercy Park Building,5,299 ft,20,high-rise building,1913,
859,35XV Residences,15,299 ft,24,high-rise building,2016,
860,Viceroy New York,,299 ft,29,high-rise building,2013,
861,105 Madison Avenue,3,298 ft,21,high-rise building,1915,
862,The Edge I,32,298 ft,30,high-rise building,2009,
863,Woodstock Tower,6,298 ft,34,high-rise building,1928,
864,Fairfield Inn Times Square,6,297 ft,33,high-rise building,2009,
865,Four Points by Sheraton Midtown - Times Square,20,297 ft,33,high-rise building,2009,
866,One Northside Piers,22,297 ft,29,high-rise building,2008,
867,Baer Building,8,297 ft,24,high-rise building,1926,
868,Beacon Tower,16,297 ft,23,high-rise building,2007,
869,Farmers&#039; Loan & Trust Building,5,297 ft,22,high-rise building,1926,
870,Distrikt Hotel,4,297 ft,32,high-rise building,2010,
871,100 William Street,3,297 ft,21,high-rise building,1972,
872,The Alexander,36,296 ft,24,high-rise building,2010,
873,Plaza 57 at Nippon Club Tower,5,296 ft,22,high-rise building,1987,
874,Starrett-Lehigh Building,17,296 ft,19,high-rise building,1931,
875,Gateway Plaza 600,10,296 ft,34,high-rise building,1983,
876,Hyatt House New York/Chelsea,22,296 ft,30,high-rise building,2017,
877,34 East 51st Street,,296 ft,21,high-rise building,2016,
878,693 Fifth Avenue,3,296 ft,20,high-rise building,1992,
879,455 West 37th Street,42,295 ft,23,high-rise building,2009,
880,1001 6th Avenue,1,295 ft,23,high-rise building,1926,
881,Hess Building,3,295 ft,21,high-rise building,1913,
882,200 Cadman Plaza Apartments,10,294 ft,33,high-rise building,1967,
883,10 Park Avenue,7,294 ft,28,high-rise building,1931,
884,Grand Hyatt Hotel,12,294 ft,26,high-rise building,1919,
885,Lazarus Building,4,294 ft,25,high-rise building,1928,
886,33 West End Avenue,10,293 ft,25,high-rise building,2006,
887,Avalon Riverview,24,293 ft,34,high-rise building,2002,
888,Adam&#039;s Tower,7,293 ft,32,high-rise building,1968,
889,Empire Building,9,293 ft,21,high-rise building,1898,
890,230 West 41st Street,2,293 ft,20,high-rise building,1923,
891,640 5th Avenue,12,293 ft,20,high-rise building,1949,
892,560 Lexington Avenue,3,293 ft,22,high-rise building,1981,
893,Phoenix House Apartments,5,293 ft,31,high-rise building,1969,
894,Sutton 57,1,292 ft,24,high-rise building,2006,
895,19 East 40th Street,7,292 ft,23,high-rise building,1918,
896,ABC Headquarters Building,1,292 ft,22,high-rise building,1989,
897,Masonic Hall,6,292 ft,19,high-rise building,1909,
898,New York Cotton Exchange,5,292 ft,23,high-rise building,1923,
899,The Elektra,2,291 ft,34,high-rise building,1992,
900,Morgan Court Apartments,10,291 ft,32,high-rise building,1984,
901,Guardian Life Building,13,291 ft,28,high-rise building,1983,
902,Park Place Tower,14,291 ft,23,high-rise building,1895,
903,1600 Broadway on the Square,30,290 ft,26,high-rise building,2006,
904,205 East 59th Street,21,290 ft,25,high-rise building,2005,
905,415 Madison Avenue,2,290 ft,24,high-rise building,1956,
906,100 Maiden Lane,5,290 ft,23,high-rise building,1929,
907,Staybridge Suites Times Square-New York City,3,290 ft,32,high-rise building,2010,
908,222 Riverside Drive Condominiums,,290 ft,22,high-rise building,1989,
909,Hoyt & Horn,17,289 ft,28,high-rise building,2018,
910,350 Madison Avenue,1,289 ft,25,high-rise building,1922,
911,Forté Condominiums,35,288 ft,28,high-rise building,2007,
912,Presbyterian Hospital Building,2,288 ft,19,high-rise building,1928,
913,27 on 27th,1,288 ft,27,high-rise building,2013,
914,Hilton Garden Inn New York/West 35th Street,4,288 ft,31,high-rise building,2009,
915,The Beekman Regent,22,288 ft,21,high-rise building,2002,
916,Beekman Tower Hotel,11,288 ft,26,high-rise building,1929,
917,Revere Condominiums,1,287 ft,31,high-rise building,1972,
918,Maison East,2,287 ft,31,high-rise building,1985,
919,575 Madison Avenue,5,287 ft,25,high-rise building,1950,
920,Universal Pictures Building,5,287 ft,22,high-rise building,1947,
921,Springs Building,5,287 ft,20,high-rise building,1963,
922,Co-op City Building 35,,286 ft,33,high-rise building,1970,
923,Co-op City Building 34,,286 ft,33,high-rise building,1970,
924,Co-op City Building 33,,286 ft,33,high-rise building,1970,
925,Co-op City Building 25,,286 ft,33,high-rise building,1970,
926,Co-op City Building 24,,286 ft,33,high-rise building,1970,
927,Co-op City Building 23,,286 ft,33,high-rise building,1970,
928,Co-op City Building 19,,286 ft,33,high-rise building,1970,
929,Co-op City Building 18,,286 ft,33,high-rise building,1970,
930,Co-op City Building 17,,286 ft,33,high-rise building,1970,
931,Co-op City Building 14,,286 ft,33,high-rise building,1970,
932,Co-op City Building 13,,286 ft,33,high-rise building,1970,
933,Co-op City Building 12,,286 ft,33,high-rise building,1970,
934,Co-op City Building 8,,286 ft,33,high-rise building,1970,
935,Co-op City Building 7,,286 ft,33,high-rise building,1970,
936,Co-op City Building 6,,286 ft,33,high-rise building,1970,
937,Lexington Tower,6,286 ft,27,high-rise building,1927,
938,18-22 East 48th Street,3,286 ft,22,high-rise building,1928,
939,U.S. Rubber Company Building,4,286 ft,20,high-rise building,1912,
940,Hippodrome Building & Garage,6,286 ft,19,high-rise building,1952,
941,Fifth Avenue Presbyterian Church,1,286 ft,3,church,1876,
942,The House at Cornell Tech,,285 ft,26,high-rise building,2017,
943,Flatiron Building,67,285 ft,21,high-rise building,1902,
944,St. Nicholas Tower,1,285 ft,32,high-rise building,1964,
945,Imperial House Apartments,1,285 ft,28,high-rise building,1961,
946,Sofia Condominiums,3,285 ft,24,high-rise building,1930,
947,1 Whitehall Street,3,285 ft,23,high-rise building,1962,
948,654 Madison Avenue,,285 ft,23,high-rise building,1927,
949,Madison Green Condominiums,10,284 ft,30,high-rise building,1982,
950,Copley Apartments,3,284 ft,28,high-rise building,1987,
951,237 Park Avenue,5,284 ft,21,high-rise building,1905,
952,462 7th Avenue,6,283 ft,24,high-rise building,1926,
953,Archdiocese of New York,5,283 ft,20,high-rise building,1972,
954,Wellington Hotel,6,282 ft,27,high-rise building,1929,
955,United States Realty Building,11,282 ft,21,high-rise building,1907,
956,Carnegie Park Apartments,4,282 ft,30,high-rise building,1986,
957,Newbury Apartments,1,282 ft,30,high-rise building,1970,
958,The Vanguard Chelsea,5,282 ft,29,high-rise building,2000,
959,Chesapeake Apartments,3,282 ft,29,high-rise building,2000,
960,Tower West Apartments,4,282 ft,28,high-rise building,1971,
961,Whitney House Apartments,3,282 ft,28,high-rise building,1982,
962,Tribeca Bridge Tower,15,282 ft,25,high-rise building,1998,
963,Court Square Building,6,282 ft,24,high-rise building,1926,
964,80 8th Avenue,9,282 ft,20,high-rise building,1930,
965,Watermark LIC,,282 ft,27,high-rise building,2017,
966,Courtyard New York Manhattan/Fifth Avenue,4,281 ft,30,high-rise building,1990,
967,550 7th Avenue,4,281 ft,23,high-rise building,1925,
968,W New York - Union Square,21,281 ft,21,high-rise building,1911,
969,Trinity Building,22,281 ft,21,high-rise building,1905,
970,Trinity Church,15,280 ft,1,church,1846,
971,Liberty View Condominiums,19,280 ft,28,high-rise building,1993,
972,655 Madison Avenue,4,280 ft,24,high-rise building,1950,
973,Beresford Apartments,17,280 ft,20,high-rise building,1929,
974,Royal Insurance Building,4,280 ft,19,high-rise building,1927,
975,The Solaire,32,280 ft,27,high-rise building,2003,
976,The Opera,5,279 ft,24,high-rise building,1930,
977,La Premier Apartments,1,279 ft,32,high-rise building,1977,
978,Home Life Insurance Building,10,279 ft,16,high-rise building,1894,
979,Austrian Cultural Institute Building,14,279 ft,20,high-rise building,2002,
980,10 Hanover Square,3,278 ft,22,high-rise building,1971,
981,Master Printers Building,9,278 ft,19,high-rise building,1927,
982,The Edison,1,277 ft,26,high-rise building,2017,
983,25 Broad,3,277 ft,20,high-rise building,1902,
984,Brooklyn Bridge,36,277 ft,-,bridge,1883,
985,The Ashley,20,276 ft,23,high-rise building,2010,
986,451 Lexington Avenue,,275 ft,27,high-rise building,2013,
987,Archstone Clinton North Tower,9,275 ft,24,high-rise building,2007,
988,Archstone Clinton South Tower,10,275 ft,24,high-rise building,2007,
989,477 Madison Avenue,4,275 ft,23,high-rise building,1953,
990,Veterans Administration Hospital,8,275 ft,19,high-rise building,1954,
991,Omni Berkshire Place Hotel,1,275 ft,19,high-rise building,1927,
992,Astrotower,2,275 ft,-,observation tower,1963,
993,11 East 26th Street,7,275 ft,21,high-rise building,1912,
994,South Star,5,274 ft,27,high-rise building,1926,
995,Pennsylvania Building,10,274 ft,23,high-rise building,1925,
996,Pan Ocean Building,1,274 ft,22,high-rise building,1971,
997,University Towers Apartments I,7,273 ft,30,high-rise building,1965,
998,University Towers Apartments III,3,273 ft,30,high-rise building,1965,
999,University Towers Apartments II,5,273 ft,30,high-rise building,1965,
"1,000",Bowling Green Building,9,273 ft,23,high-rise building,1898,
"1,001",Madison Square Building,6,272 ft,20,high-rise building,1912,
"1,002",Accor Novotel,10,272 ft,33,high-rise building,1984,
"1,003",Standard Security Life Building,5,272 ft,25,high-rise building,1929,
"1,004",Davies Building,5,272 ft,22,high-rise building,1955,
"1,005",102 5th Avenue,3,272 ft,19,high-rise building,1911,
"1,006",EXHIBIT,3,272 ft,23,high-rise building,2018,
"1,007",235 East 44th Street,6,272 ft,21,high-rise building,2015,
"1,008",The Bank of New York at Atlantic Terminal,25,272 ft,16,high-rise building,2004,
"1,009",33 Bond Street,23,271 ft,25,high-rise building,2017,
"1,010",1430 Broadway,7,271 ft,22,high-rise building,1956,
"1,011",Everett Building,8,271 ft,20,high-rise building,1915,
"1,012",Savoy House Apartments,3,271 ft,30,high-rise building,1972,
"1,013",200 West End Avenue,20,270 ft,27,high-rise building,2008,
"1,014",New York Life Insurance Building,6,270 ft,12,high-rise building,1899,
"1,015",412 West 15th Street,8,270 ft,18,high-rise building,2018,
"1,016",Croisic Building,22,269 ft,20,high-rise building,1910,
"1,017",363 7th Avenue,3,269 ft,22,high-rise building,1931,
"1,018",Astor Place,28,269 ft,21,high-rise building,2005,
"1,019",Henry Hudson Hotel,3,269 ft,27,high-rise building,1929,
"1,020",Towers of Bay Ridge West,1,268 ft,30,high-rise building,1972,
"1,021",Rockefeller Center Hotel,7,268 ft,26,high-rise building,2006,
"1,022",Westinghouse Building,4,268 ft,23,high-rise building,1924,
"1,023",850 Third Avenue,2,268 ft,21,high-rise building,1961,
"1,024",303 Fifth Avenue,6,268 ft,20,high-rise building,1909,
"1,025",Avalon West Chelsea,8,268 ft,31,high-rise building,2014,
"1,026",Kimberly Apartments,3,267 ft,29,high-rise building,1990,
"1,027",Polo Grounds Towers II,,267 ft,30,high-rise building,1968,
"1,028",Rolls Royce Building,2,267 ft,22,high-rise building,1930,
"1,029",1500 Lexington Avenue,5,267 ft,22,high-rise building,2003,
"1,030",Kheel Tower,8,267 ft,21,high-rise building,1926,
"1,031",New York Times Building,4,267 ft,18,high-rise building,1913,
"1,032",135 West 36th Street,6,267 ft,17,high-rise building,1925,
"1,033",200 Eleventh Avenue,71,267 ft,19,high-rise building,2010,
"1,034",Twin Parks South East #4,,266 ft,31,high-rise building,1969,
"1,035",Tower 39,7,266 ft,25,high-rise building,1928,
"1,036",Remington Rand Building,4,266 ft,20,high-rise building,1911,
"1,037",42 Broadway,,266 ft,21,high-rise building,1914,
"1,038",240 Central Park South,8,265 ft,28,high-rise building,1941,
"1,039",300 East 64th,3,265 ft,27,high-rise building,1996,
"1,040",Club Quarters Downtown Hotel,2,265 ft,20,high-rise building,1903,
"1,041",535 8th Avenue,4,265 ft,20,high-rise building,1926,
"1,042",7 West 45th Street,5,265 ft,18,high-rise building,1904,
"1,043",Goldsmiths&#039; & Silversmiths&#039; Building,2,265 ft,20,high-rise building,1907,
"1,044",Polo Grounds Towers I,,264 ft,30,high-rise building,1968,
"1,045",Polo Grounds Towers IV,,264 ft,30,high-rise building,1968,
"1,046",Polo Grounds Towers III,,264 ft,30,high-rise building,1968,
"1,047",110 Central Park South,5,264 ft,25,high-rise building,1928,
"1,048",Commercial Exchange Building,4,264 ft,24,high-rise building,1927,
"1,049",50 Murray Street,4,264 ft,21,high-rise building,1964,
"1,050",General Reinsurance Building,2,264 ft,21,high-rise building,1958,
"1,051",William Black Medical Research Building,1,264 ft,20,high-rise building,1966,
"1,052",212 Fifth Avenue,12,264 ft,20,high-rise building,1913,
"1,053",111 8th Avenue,12,264 ft,18,high-rise building,1932,
"1,054",Victoria Building,9,264 ft,20,high-rise building,1912,
"1,055",215 Park Avenue South,10,264 ft,20,high-rise building,1914,
"1,056",410 Park Avenue,6,263 ft,22,high-rise building,1959,
"1,057",902 Broadway,7,263 ft,20,high-rise building,1913,
"1,058",Yale Club,6,263 ft,20,high-rise building,1915,
"1,059",Textile Building,5,263 ft,20,high-rise building,1920,
"1,060",Lex Apartments,6,262 ft,26,high-rise building,1990,
"1,061",Hilton Garden Inn Midtown East,,262 ft,28,high-rise building,2014,
"1,062",Hotel Indigo Lower East Side New York,3,262 ft,24,high-rise building,2015,
"1,063",Postum Building,4,262 ft,21,high-rise building,1924,
"1,064",386 Park Avenue South,4,262 ft,20,high-rise building,1927,
"1,065",Equitable Trust Building,2,262 ft,20,high-rise building,1918,
"1,066",State University College of Optometry,12,262 ft,17,high-rise building,1912,
"1,067",Parachute Jump,2,262 ft,-,amusement ride,1939,
"1,068",Morrisania Air Rights II,,261 ft,29,high-rise building,1980,
"1,069",124 East 12th Street,6,261 ft,26,high-rise building,2009,
"1,070",Barbizon/63,19,261 ft,23,high-rise building,1927,
"1,071",Bankers Trust Company Building,7,261 ft,20,high-rise building,1917,
"1,072",Verizon Building,5,261 ft,16,high-rise building,1930,
"1,073",Herogel Building,7,261 ft,16,high-rise building,1927,
"1,074",DoubleTree Hotel New York City - Chelsea,2,260 ft,26,high-rise building,2009,
"1,075",Tilden Towers II,,260 ft,30,high-rise building,1971,
"1,076",Montefiore Hospital & Medical Center Apartments II,1,260 ft,28,high-rise building,1972,
"1,077",The Alexandria,6,260 ft,25,high-rise building,1990,
"1,078",152 Madison Avenue,1,260 ft,23,high-rise building,1928,
"1,079",30 West 18th Street,1,260 ft,21,high-rise building,2008,
"1,080",Normandy Apartments,1,260 ft,20,high-rise building,1940,
"1,081",Paramount Hotel,5,260 ft,19,high-rise building,1928,
"1,082",12 West 27th Street,1,260 ft,18,high-rise building,1913,
"1,083",U.S. District Courthouse at Cadman Plaza,26,260 ft,15,high-rise building,2006,
"1,084",Pace University New Residence Hall,,260 ft,23,high-rise building,2013,
"1,085",141 West 36th Street,9,259 ft,22,high-rise building,1912,
"1,086",561 7th Avenue,4,259 ft,22,high-rise building,1926,
"1,087",Arsenal Building,17,259 ft,21,high-rise building,1924,
"1,088",The Whitehall Building,58,259 ft,20,high-rise building,1904,
"1,089",529 5th Avenue,1,259 ft,20,high-rise building,1959,
"1,090",New York Stock Exchange Addition,15,258 ft,23,high-rise building,1922,
"1,091",Windsor Tower,3,258 ft,22,high-rise building,1928,
"1,092",Tudor Tower,7,258 ft,22,high-rise building,1927,
"1,093",Prospect Tower,7,258 ft,22,high-rise building,1927,
"1,094",Leader House Condominiums,2,257 ft,29,high-rise building,1972,
"1,095",The Europa,1,257 ft,25,high-rise building,1995,
"1,096",National Furniture Mart Building,2,257 ft,21,high-rise building,1962,
"1,097",City College School of Business & Civic Administration,2,257 ft,16,high-rise building,1930,
"1,098",LUMA Hotel Times Square,,257 ft,26,high-rise building,2017,
"1,099",Caldwell Apartments,1,256 ft,31,high-rise building,1972,
"1,100",740 Park Avenue,2,256 ft,17,high-rise building,1930,
"1,101",Federal Office Building,11,256 ft,16,high-rise building,1935,
"1,102",Fairfield Inn & Suites New York Downtown Manhattan/World Trade Center Area,,256 ft,25,high-rise building,2017,
"1,103",Camargue Apartments,1,255 ft,30,high-rise building,1977,
"1,104",Brevoort East Apartments,3,255 ft,26,high-rise building,1965,
"1,105",Lebros Building,4,255 ft,20,high-rise building,1925,
"1,106",The James New York,35,255 ft,18,high-rise building,2010,
"1,107",300 Vesey Street,16,255 ft,16,high-rise building,1997,
"1,108",330 7th Avenue,2,254 ft,21,high-rise building,1928,
"1,109",580 8th Avenue,1,254 ft,20,high-rise building,1929,
"1,110",Merchants&#039; Exchange Building,3,254 ft,18,high-rise building,1909,
"1,111",Lafayette Street Residence Hall,13,254 ft,17,high-rise building,1914,
"1,112",355 Lexington Avenue,3,253 ft,22,high-rise building,1959,
"1,113",Riverview Apartments,,252 ft,25,high-rise building,1972,
"1,114",Hotel Carter,2,252 ft,22,high-rise building,1930,
"1,115",322 East 57th Apartments,1,252 ft,21,high-rise building,1930,
"1,116",Jasper,1,252 ft,17,high-rise building,1926,
"1,117",The Plaza Residences,19,252 ft,18,high-rise building,1907,
"1,118",Cadman Plaza North,12,251 ft,27,high-rise building,1966,
"1,119",Paris Hotel,,251 ft,23,high-rise building,1931,
"1,120",88 Lexington Avenue,8,251 ft,19,high-rise building,1927,
"1,121",22 River Terrace,16,250 ft,27,high-rise building,2001,
"1,122",Hotel Edison,5,250 ft,25,high-rise building,1931,
"1,123",Emerald Green,46,250 ft,24,high-rise building,2009,
"1,124",The Caledonia,24,250 ft,24,high-rise building,2008,
"1,125",The Bentley,9,250 ft,23,high-rise building,1986,
"1,126",100 11th,143,250 ft,21,high-rise building,2010,
"1,127",Peninsula Hotel,4,250 ft,21,high-rise building,1905,
"1,128",National Tower,6,250 ft,21,high-rise building,1924,
"1,129",Millennium Towers South,2,250 ft,16,high-rise building,1922,
"1,130",Hell Gate Bridge,,250 ft,-,bridge,1916,
"1,131",Even Hotels New York - Times Square South,,250 ft,25,high-rise building,2015,
"1,132",The William Vale,1,250 ft,23,high-rise building,2016,
"1,133",551 West 21st Street,14,250 ft,19,high-rise building,2016,
"1,134",20 East End Avenue,23,250 ft,17,high-rise building,2017,
"1,135",Courtyard New York Manhattan/Times Square West,,250 ft,27,high-rise building,2013,
"1,136",Joseph L. Mailman School of Public Health,1,249 ft,20,high-rise building,1929,
"1,137",Empire Trust Building,3,249 ft,20,high-rise building,1904,
"1,138",345 Hudson Street,7,249 ft,17,high-rise building,1931,
"1,139",Seventh Avenue Building,3,248 ft,21,high-rise building,1920,
"1,140",509 Madison Avenue,7,248 ft,21,high-rise building,1929,
"1,141",305 7th Avenue,7,248 ft,20,high-rise building,1921,
"1,142",One Park Avenue,5,248 ft,20,high-rise building,1922,
"1,143",Harlem Hospital Center,4,248 ft,18,high-rise building,1966,
"1,144",620 Sixth Avenue,24,248 ft,11,high-rise building,1897,
"1,145",Carlton Towers Apartments,1,248 ft,30,high-rise building,1968,
"1,146",One Morningside Park,1,247 ft,22,high-rise building,2014,
"1,147",1359 Broadway,5,247 ft,20,high-rise building,1925,
"1,148",5 East 57th Street,4,247 ft,22,high-rise building,1926,
"1,149",Chelsea Arts Tower,24,247 ft,20,high-rise building,2007,
"1,150",Esplanade Gardens VI,3,246 ft,27,high-rise building,1967,
"1,151",Esplanade Gardens V,2,246 ft,27,high-rise building,1967,
"1,152",Esplanade Gardens IV,1,246 ft,27,high-rise building,1967,
"1,153",Esplanade Gardens I,1,246 ft,27,high-rise building,1967,
"1,154",Longacre House Apartments,6,246 ft,26,high-rise building,2000,
"1,155",The Vogue,4,246 ft,24,high-rise building,1986,
"1,156",150 West 30th Street,3,246 ft,21,high-rise building,1925,
"1,157",The Cass Gilbert,5,246 ft,18,high-rise building,1929,
"1,158",Holland Plaza Building,8,246 ft,16,high-rise building,1930,
"1,159",The Lane,13,245 ft,21,high-rise building,2017,
"1,160",Electchester Towers West,1,245 ft,24,high-rise building,1966,
"1,161",Electchester Towers East,1,245 ft,24,high-rise building,1966,
"1,162",161 William Street,4,245 ft,22,high-rise building,1952,
"1,163",350 7th Avenue,2,245 ft,21,high-rise building,1927,
"1,164",Pennsylvania Exchange Bank,8,245 ft,20,high-rise building,1925,
"1,165",Lionel Hampton Houses,1,244 ft,29,high-rise building,1973,
"1,166",80 Central Park West,6,244 ft,25,high-rise building,1967,
"1,167",The Presidential,5,244 ft,23,high-rise building,2003,
"1,168",Dodge-Olcott Building,4,244 ft,17,high-rise building,1930,
"1,169",Museum of Modern Art (Expansion),21,244 ft,16,high-rise building,2004,
"1,170",Engineering Societies&#039; Building,1,244 ft,15,high-rise building,1910,
"1,171",Sheraton Brooklyn New York Hotel,26,244 ft,23,high-rise building,2010,
"1,172",Liberty House Condominiums,8,243 ft,27,high-rise building,1986,
"1,173",Metro,3,243 ft,25,high-rise building,1980,
"1,174",The Westport,4,243 ft,24,high-rise building,2003,
"1,175",Towers of Bay Ridge East,2,242 ft,28,high-rise building,1972,
"1,176",Lefcourt Empire Building,3,242 ft,21,high-rise building,1930,
"1,177",50 Broad Street,4,242 ft,20,high-rise building,1915,
"1,178",Lefcourt Madison Building,6,242 ft,20,high-rise building,1925,
"1,179",One Lefrak City Plaza,1,242 ft,20,high-rise building,1970,
"1,180",55 5th Avenue,2,242 ft,18,high-rise building,1910,
"1,181",370 7th Avenue,3,242 ft,17,high-rise building,1920,
"1,182",Sixty East Eighty Sixth,4,241 ft,19,high-rise building,2016,
"1,183",400 Madison Avenue,5,241 ft,22,high-rise building,1929,
"1,184",250 West 39th Street,1,241 ft,17,high-rise building,1927,
"1,185",Court Square Place,4,241 ft,16,high-rise building,2006,
"1,186",Ambulatory Care and Medical Education Building,8,241 ft,15,high-rise building,2007,
"1,187",Public Safety Answering Center II,,241 ft,10,high-rise building,2016,
"1,188",One Union Square South,27,241 ft,20,high-rise building,1999,
"1,189",The Verdesian on the Park,20,240 ft,24,high-rise building,2006,
"1,190",140 East 72nd Street,,240 ft,22,high-rise building,1959,
"1,191",St. Anthony of Padua Church,2,240 ft,4,church,1875,
"1,192",Linden78,23,240 ft,21,high-rise building,2010,
"1,193",Cabrini Medical Center,,240 ft,16,high-rise building,1972,
"1,194",John Jay College of Criminal Justice Expansion,35,240 ft,14,high-rise building,2011,
"1,195",Michelangelo Apartments,1,239 ft,27,high-rise building,1975,
"1,196",Holiday Inn Express-Midtown-45th Street,2,239 ft,22,high-rise building,2005,
"1,197",Lombardy Apartment Hotel,,239 ft,21,high-rise building,1927,
"1,198",136 East 57th Street,3,239 ft,20,high-rise building,1931,
"1,199",264 West 40th Street,3,239 ft,20,high-rise building,1928,
"1,200",Franklin Towers,11,239 ft,17,high-rise building,1931,
"1,201",Premiere Tower,1,238 ft,22,high-rise building,1999,
"1,202",Parc Vendome Condominiums North,3,238 ft,21,high-rise building,1929,
"1,203",Crystal Building,5,238 ft,21,high-rise building,1930,
"1,204",635 Madison Avenue,1,238 ft,19,high-rise building,1956,
"1,205",Industrial Building,2,238 ft,18,high-rise building,1928,
"1,206",Allied Arts Building,1,238 ft,16,high-rise building,1929,
"1,207",Ascot Apartments,1,238 ft,26,high-rise building,1983,
"1,208",Bronx Lebanon Hospital Center Concourse Division,,237 ft,17,high-rise building,1942,
"1,209",Bowery Savings Bank Building,4,237 ft,18,high-rise building,1923,
"1,210",Wyndham Garden Hotel - Midtown Convention Center,18,237 ft,25,high-rise building,2008,
"1,211",New York Post Building,11,236 ft,21,high-rise building,1926,
"1,212",Number 5 Condominiums,8,236 ft,20,high-rise building,2009,
"1,213",1115 1st Avenue,1,236 ft,19,high-rise building,2006,
"1,214",The Roosevelt Hotel,1,236 ft,19,high-rise building,1924,
"1,215","University Hall, NYU Residence",2,236 ft,19,high-rise building,1998,
"1,216",79 5th Avenue,3,236 ft,16,high-rise building,1907,
"1,217",The Parkline,23,236 ft,23,high-rise building,2016,
"1,218",Esplanade Gardens II,,235 ft,26,high-rise building,1967,
"1,219",Esplanade Gardens III,2,235 ft,26,high-rise building,1967,
"1,220",Hudson Towers Apartments,2,235 ft,23,high-rise building,1945,
"1,221",279 Central Park West,3,235 ft,23,high-rise building,1988,
"1,222",Belfer Hall,,235 ft,18,high-rise building,1968,
"1,223",New York Telephone Building,,235 ft,13,high-rise building,-,
"1,224",Schaefer Landing North Tower,14,234 ft,24,high-rise building,2006,
"1,225",Windermere Hotel,,234 ft,23,high-rise building,1927,
"1,226",Continental East Apartments,2,234 ft,22,high-rise building,1967,
"1,227",Everett Building,13,234 ft,16,high-rise building,1908,
"1,228",225 Rector Place,10,233 ft,23,high-rise building,1986,
"1,229",International Children&#039;s Apparel Center,2,233 ft,20,high-rise building,1960,
"1,230",Atria West Side,2,233 ft,20,high-rise building,1925,
"1,231",Standard Hotel,93,233 ft,19,high-rise building,2009,
"1,232",260 West 39th Street,1,233 ft,18,high-rise building,1927,
"1,233",New LaGuardia Airport ATC Tower,1,233 ft,-,airport tower,2009,
"1,234",The Anthem,11,232 ft,21,high-rise building,2003,
"1,235",The Ludlow,16,232 ft,23,high-rise building,2007,
"1,236",Ardsley Apartments,4,232 ft,20,high-rise building,1931,
"1,237",Mental Hygiene Facilities,,232 ft,19,high-rise building,1972,
"1,238",307 West 36th Street,2,232 ft,18,high-rise building,1927,
"1,239",809 Broadway,,232 ft,15,high-rise building,1930,
"1,240",Tribeca Royale,7,232 ft,21,high-rise building,2014,
"1,241",Chanel Retail and Corporate Fashion Headquarters,2,232 ft,17,high-rise building,1924,
"1,242",Highbridge House,,231 ft,26,high-rise building,1972,
"1,243",Feil Hall,18,231 ft,22,high-rise building,2005,
"1,244",Ocean Park Apartments B,,231 ft,26,high-rise building,1972,
"1,245",Ocean Park Apartments A,,231 ft,26,high-rise building,1972,
"1,246",400 West End Avenue,3,231 ft,20,high-rise building,1931,
"1,247",New Amsterdam Apartments,2,231 ft,19,high-rise building,1930,
"1,248",Stock Quotation Telegraph Building,6,231 ft,18,high-rise building,1910,
"1,249",Hilton Garden Inn New York Times Square South,,231 ft,22,high-rise building,2017,
"1,250",The House at 15 Central Park West,27,231 ft,19,high-rise building,2008,
